"Country","Respondent","UrbanRural","Age","EconomicSituation","LivingConditions","Interest","Religion","TaxMorale","TrustPresident","TrustParliament","TrustCourts","CorruptionPresident","CorruptionParliament","CorruptionOfficials","CorruptionCouncilors","CorruptionTax","Gender","AvoidHowOften","TrustTax","SelfEmployedTax","AvoidReason","EconomicPolicies","LocalGvtTaxes","Enforce1","Enforce2","CorruptionOfficialsLocal","CorruptionOfficialsNational","Year"
2,"BOT0953",2,41,9,1,3,1,5,3,9,3,9,0,NA,9,9,2,NA,NA,NA,NA,9,9,4,4,9,9,2005
2,"BOT0956",2,22,1,1,3,0,4,3,3,2,1,1,NA,1,1,1,NA,NA,NA,NA,2,1,4,4,1,1,2005
2,"BOT0958",2,54,9,2,3,0,3,3,3,3,0,0,NA,1,2,1,NA,NA,NA,NA,3,9,1,4,0,0,2005
2,"BOT0960",2,36,2,2,3,2,5,3,3,3,9,9,NA,9,9,2,NA,NA,NA,NA,4,9,4,4,9,9,2005
2,"BOT0965",2,53,3,3,1,1,3,2,2,3,1,1,NA,1,2,2,NA,NA,NA,NA,4,2,1,4,1,2,2005
2,"BOT0967",2,54,2,1,3,2,4,3,3,0,1,2,NA,1,2,2,NA,NA,NA,NA,4,9,1,4,1,1,2005
2,"BOT0970",2,31,4,4,1,1,5,3,3,3,9,9,NA,0,9,2,NA,NA,NA,NA,2,9,2,4,9,0,2005
2,"BOT0971",2,22,2,2,2,2,2,0,0,2,1,1,NA,1,1,2,NA,NA,NA,NA,2,2,3,4,1,1,2005
2,"BOT0974",2,29,3,3,3,0,4,0,3,1,1,1,NA,1,1,1,NA,NA,NA,NA,3,3,1,4,1,1,2005
2,"BOT0982",1,52,2,2,2,0,4,2,2,1,1,1,NA,1,1,2,NA,NA,NA,NA,2,3,3,3,1,1,2005
2,"BOT0988",1,29,2,2,1,0,4,1,0,2,1,1,NA,1,1,2,NA,NA,NA,NA,2,2,1,4,1,2,2005
2,"BOT0990",1,26,2,3,3,0,4,0,0,0,1,1,NA,1,0,1,NA,NA,NA,NA,3,4,1,4,1,2,2005
2,"BOT0994",1,24,2,2,1,0,4,3,9,0,1,1,NA,1,9,1,NA,NA,NA,NA,4,9,2,4,1,1,2005
2,"BOT1006",2,53,4,4,3,1,5,3,3,3,9,9,NA,9,9,2,NA,NA,NA,NA,2,9,4,4,9,9,2005
2,"BOT1009",2,53,3,2,2,0,4,2,2,2,1,1,NA,1,1,1,NA,NA,NA,NA,4,2,1,4,1,1,2005
2,"BOT1010",2,20,3,3,1,0,3,3,2,2,1,1,NA,0,1,2,NA,NA,NA,NA,3,3,1,4,0,0,2005
2,"BOT1011",2,27,2,2,3,0,5,3,3,3,9,9,NA,9,9,2,NA,NA,NA,NA,1,9,4,4,9,9,2005
2,"BOT1015",2,28,3,2,2,1,4,3,2,2,1,1,NA,1,2,1,NA,NA,NA,NA,3,3,1,4,1,2,2005
2,"BOT1017",2,45,2,2,2,0,3,0,3,1,0,1,NA,1,0,2,NA,NA,NA,NA,3,9,3,4,1,2,2005
2,"BOT1020",2,32,2,2,2,2,3,0,0,1,1,1,NA,1,1,2,NA,NA,NA,NA,4,2,2,4,1,1,2005
2,"BOT1022",2,29,4,2,3,1,4,2,3,3,9,1,NA,1,9,1,NA,NA,NA,NA,4,9,4,4,2,2,2005
2,"BOT1031",2,32,2,2,2,1,4,0,0,1,1,1,NA,1,1,1,NA,NA,NA,NA,3,3,1,4,1,1,2005
2,"BOT1032",2,31,4,2,2,1,4,3,3,2,1,1,NA,1,1,2,NA,NA,NA,NA,3,3,1,4,1,1,2005
2,"BOT1033",2,50,2,2,3,2,4,3,3,3,0,0,NA,0,2,1,NA,NA,NA,NA,5,9,2,4,0,0,2005
2,"BOT1039",1,34,2,2,3,0,4,2,0,3,1,3,NA,9,1,1,NA,NA,NA,NA,4,2,2,3,1,1,2005
2,"BOT1040",1,46,2,2,3,0,5,0,0,2,9,9,NA,9,9,2,NA,NA,NA,NA,4,3,2,3,9,9,2005
2,"BOT1041",1,74,9,2,1,0,4,3,1,9,9,9,NA,9,9,1,NA,NA,NA,NA,3,2,9,9,9,9,2005
2,"BOT1042",1,54,2,2,1,1,9,1,9,3,9,9,NA,9,1,2,NA,NA,NA,NA,9,3,2,3,9,9,2005
2,"BOT1043",1,42,2,2,3,1,4,1,1,1,9,9,NA,9,9,2,NA,NA,NA,NA,1,3,4,4,9,1,2005
2,"BOT1047",1,59,3,2,0,0,4,3,3,3,9,9,NA,9,9,2,NA,NA,NA,NA,5,9,3,9,9,9,2005
2,"BOT1049",2,74,2,2,1,1,4,3,3,3,0,0,NA,0,0,2,NA,NA,NA,NA,2,9,9,9,0,0,2005
2,"BOT1051",2,35,2,2,2,2,5,2,2,9,1,1,NA,1,9,2,NA,NA,NA,NA,4,3,2,4,1,1,2005
2,"BOT1052",2,56,3,1,2,0,9,3,3,3,9,9,NA,0,9,1,NA,NA,NA,NA,4,3,2,4,1,1,2005
2,"BOT1054",2,999,4,4,9,1,9,2,2,2,9,9,NA,9,9,2,NA,NA,NA,NA,3,9,3,4,9,9,2005
2,"BOT1057",2,94,2,2,2,0,3,9,9,9,9,9,NA,9,9,1,NA,NA,NA,NA,2,3,9,9,9,9,2005
2,"BOT1058",2,74,4,1,0,0,5,3,3,3,3,1,NA,1,1,1,NA,NA,NA,NA,9,9,4,4,1,1,2005
2,"BOT1059",2,40,4,2,1,1,3,2,2,1,1,1,NA,1,1,1,NA,NA,NA,NA,3,2,3,3,1,1,2005
2,"BOT1060",2,23,4,4,3,1,3,3,3,3,3,3,NA,3,3,2,NA,NA,NA,NA,3,9,3,3,3,3,2005
2,"BOT1061",2,42,1,1,3,0,9,3,3,3,9,9,NA,9,9,2,NA,NA,NA,NA,1,3,9,9,9,9,2005
2,"BOT1063",2,65,2,2,0,2,3,3,3,2,1,1,NA,1,1,2,NA,NA,NA,NA,1,3,2,3,1,1,2005
2,"BOT1064",2,49,2,2,2,0,3,3,3,3,2,2,NA,2,2,2,NA,NA,NA,NA,5,3,9,9,2,2,2005
